number,file,timestamp_seconds,timestamp
1,frames/frame_0001.jpg,0.0,00:00.000
2,frames/frame_0002.jpg,0.5,00:00.500
3,frames/frame_0003.jpg,1.0,00:01.000
4,frames/frame_0004.jpg,1.5,00:01.500
5,frames/frame_0005.jpg,2.0,00:02.000
6,frames/frame_0006.jpg,2.5,00:02.500
7,frames/frame_0007.jpg,3.0,00:03.000
8,frames/frame_0008.jpg,3.5,00:03.500
9,frames/frame_0009.jpg,4.0,00:04.000
10,frames/frame_0010.jpg,4.5,00:04.500
11,frames/frame_0011.jpg,5.0,00:05.000
12,frames/frame_0012.jpg,5.5,00:05.500
13,frames/frame_0013.jpg,6.0,00:06.000
14,frames/frame_0014.jpg,6.5,00:06.500
15,frames/frame_0015.jpg,7.0,00:07.000
16,frames/frame_0016.jpg,7.5,00:07.500
17,frames/frame_0017.jpg,8.0,00:08.000
18,frames/frame_0018.jpg,8.5,00:08.500
19,frames/frame_0019.jpg,9.0,00:09.000
20,frames/frame_0020.jpg,9.5,00:09.500
21,frames/frame_0021.jpg,10.0,00:10.000
22,frames/frame_0022.jpg,10.5,00:10.500
23,frames/frame_0023.jpg,11.0,00:11.000
24,frames/frame_0024.jpg,11.5,00:11.500
25,frames/frame_0025.jpg,12.0,00:12.000
26,frames/frame_0026.jpg,12.5,00:12.500
27,frames/frame_0027.jpg,13.0,00:13.000
28,frames/frame_0028.jpg,13.5,00:13.500
29,frames/frame_0029.jpg,14.0,00:14.000
30,frames/frame_0030.jpg,14.5,00:14.500
